MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Age
731,60,353,78,12,73,5,10,3,5,61
778,44,499,95,73,146,2,3,4,5,69
16,14,36,37,22,48,3,4,1,2,47
897,126,196,91,112,37,3,10,4,7,58
23,2,17,2,1,0,2,2,0,3,72
175,10,110,54,6,27,2,6,3,4,40
172,73,93,95,78,34,2,2,4,10,67
156,29,56,30,32,47,2,3,2,7,68
7,2,4,2,1,4,1,1,0,2,46
440,81,368,0,122,174,6,11,5,9,52
1156,120,915,94,144,96,1,3,4,10,31
1099,0,45,0,0,34,11,3,4,10,73
1166,0,48,0,0,36,1,4,4,10,35
583,34,309,0,22,125,2,5,4,8,60
8,4,15,3,5,3,2,1,0,3,47
1,6,2,3,6,3,1,1,0,3,38
5,0,3,0,0,1,1,1,0,2,61
463,96,333,168,53,10,1,7,7,12,62
1,3,6,10,0,9,1,1,0,3,43
454,0,171,8,19,32,12,9,2,8,66
50,4,44,10,10,43,3,3,1,3,70
205,20,47,23,2,56,6,5,2,5,57
183,33,493,59,103,57,1,4,3,10,64
279,172,74,38,8,246,1,2,10,10,50
163,23,424,27,65,76,1,3,10,13,35
4,1,5,2,0,4,1,1,0,2,53
292,51,981,224,23,17,1,4,6,6,66
3,18,26,11,8,12,3,2,0,4,52
57,0,27,0,0,36,4,3,2,2,47
302,29,131,32,0,27,6,8,1,7,67
400,32,519,71,75,54,1,3,4,9,67
9,0,5,0,0,7,1,1,0,2,37
15,0,11,0,2,9,1,1,1,2,53
99,0,15,2,1,5,3,2,1,4,51
666,35,124,69,8,26,1,5,3,5,56
760,38,104,50,9,38,2,7,3,4,78
243,11,119,10,3,15,3,4,2,8,49
522,0,257,32,16,66,4,2,2,8,58
168,148,444,32,172,148,1,6,9,13,48
1035,134,670,25,38,0,1,6,3,10,78
595,23,123,10,23,154,2,8,9,4,59
768,44,561,77,44,14,1,6,6,10,46
100,71,243,108,94,219,3,9,1,8,63
403,24,29,6,24,218,2,5,5,6,63
18,0,4,0,0,1,1,1,0,3,40
20,2,23,3,1,4,5,3,0,4,46
96,12,96,33,22,43,6,4,1,6,70
406,0,30,0,0,8,7,8,2,5,76
255,31,446,40,56,175,1,3,10,11,39
331,197,170,58,152,35,1,2,8,13,51
707,20,171,65,60,50,1,9,7,9,45
635,114,254,132,152,76,1,6,6,7,57
925,64,179,133,12,77,2,9,4,6,69
52,0,9,0,0,1,2,1,0,4,59
1043,24,97,32,24,157,2,3,5,10,61
13,3,6,6,5,6,1,1,0,3,49
108,1,28,13,1,4,2,3,1,4,60
169,24,553,188,0,144,1,8,5,4,53
173,8,107,7,2,176,4,7,2,3,45
19,3,18,3,1,0,3,3,0,3,38
20,0,14,7,3,1,3,2,0,4,44
141,15,153,67,31,35,1,4,4,6,45
56,0,14,0,0,2,3,3,0,3,67
483,84,398,205,84,241,1,3,7,8,59
231,7,137,4,15,39,9,5,1,8,56
7,10,17,8,6,13,2,2,0,3,64
240,132,445,250,192,108,1,3,7,8,47
443,5,71,21,16,82,2,8,2,7,68
620,26,195,34,17,141,1,6,4,13,76
404,0,92,28,27,142,2,6,2,9,53
3,3,7,6,2,9,1,1,0,2,48
297,7,79,0,11,182,2,8,2,4,46
15,0,12,7,3,7,3,2,0,3,51
85,15,27,13,13,21,2,3,1,4,51
67,15,80,17,11,80,3,1,4,4,64
1148,0,60,0,0,24,3,9,5,4,61
757,80,217,29,80,11,5,9,6,12,48
53,5,19,2,13,4,3,3,0,3,42
80,1,37,0,1,3,3,2,1,4,57
445,53,213,104,98,151,1,6,4,13,47
398,40,367,119,122,30,1,7,4,4,74
227,151,573,98,54,31,1,3,4,9,57
941,14,397,76,58,176,11,8,5,9,68
111,16,37,7,9,18,3,3,1,5,51
1285,21,449,106,20,20,1,4,3,4,35
252,98,827,219,70,196,1,4,5,12,51
350,3,39,0,0,19,2,9,1,4,68
160,80,369,67,39,41,1,3,3,8,36
411,106,147,54,115,66,1,5,10,7,60
116,11,72,3,17,46,4,4,1,5,38
375,152,335,93,91,81,1,5,4,6,29
909,12,278,0,12,242,3,5,2,11,44
737,21,106,55,63,210,0,6,7,9,44
365,3,15,4,3,11,5,7,2,5,49
412,5,119,38,29,77,3,3,3,12,51
918,21,118,13,10,21,3,8,3,5,61
57,0,27,0,0,36,4,3,2,2,47
2,3,10,11,2,10,1,1,0,3,49
14,0,6,0,0,0,2,2,0,3,50
551,137,792,179,103,33,1,6,7,13,36
203,35,305,46,17,227,1,2,11,5,70
24,4,22,0,2,9,4,3,1,3,62
14,0,24,3,3,2,1,3,0,2,48
9,1,6,3,0,4,1,1,0,2,39
316,58,161,76,51,135,1,6,9,4,66
595,23,123,10,23,154,2,8,9,4,59
774,70,118,182,187,93,1,4,9,13,74
635,15,100,20,7,131,1,9,3,9,54
